Date,Total Shares,Number of Shareholders,NoS Change,Shares per Shareholders,SpS Change,>400 Shares Held,>400 Holding Percentage,FHHP Change,>400 NoS,400-600 NoS,600-800 NoS,800-1000 NoS,>1000 NoS,>1000 Holding Percentage,OTHP Change,Closing Price,Price Change Percentage
2022-04-08,6125234.0,356798.0,-694.0,17.17,0.0400000000000027,4427560.0,72.28,0.09999999999999432,745.0,196.0,111.0,63.0,375.0,68.5,0.060000000000002274,49.8,0.0010050251256280836
2022-04-15,6125234.0,361051.0,4253.0,16.97,-0.20000000000000284,4409959.0,72.0,-0.28000000000000114,739.0,187.0,106.0,69.0,377.0,68.26,-0.23999999999999488,47.1,-0.054216867469879436
2022-04-22,6125234.0,369605.0,8554.0,16.57,-0.3999999999999986,4362873.0,71.23,-0.769999999999996,744.0,192.0,108.0,68.0,376.0,67.45,-0.8100000000000023,46.55,-0.01167728237791941
2022-04-29,6125234.0,373152.0,3547.0,16.41,-0.16000000000000014,4337127.0,70.81,-0.4200000000000017,745.0,192.0,105.0,77.0,371.0,66.94,-0.5100000000000051,45.9,-0.013963480128893632
2022-05-06,6125234.0,376540.0,3388.0,16.27,-0.14000000000000057,4314092.0,70.43,-0.37999999999999545,747.0,191.0,103.0,81.0,372.0,66.53,-0.4099999999999966,45.1,-0.017429193899782074
2022-05-13,6125234.0,381506.0,4966.0,16.06,-0.21000000000000085,4268575.0,69.69,-0.7400000000000091,734.0,188.0,101.0,73.0,372.0,65.94,-0.5900000000000034,41.6,-0.07760532150776053
2022-05-20,6125234.0,384539.0,3033.0,15.93,-0.129999999999999,4246328.0,69.33,-0.35999999999999943,735.0,193.0,99.0,73.0,370.0,65.56,-0.37999999999999545,41.15,-0.01081730769230776
2022-05-27,6125234.0,387711.0,3172.0,15.8,-0.129999999999999,4228608.0,69.04,-0.28999999999999204,743.0,198.0,101.0,73.0,371.0,65.22,-0.3400000000000034,42.2,0.025516403402187224
2022-06-02,6125234.0,390156.0,2445.0,15.7,-0.10000000000000142,4214020.0,68.8,-0.2400000000000091,745.0,199.0,101.0,73.0,372.0,64.97,-0.25,41.7,-0.011848341232227487
2022-06-10,6125234.0,393748.0,3592.0,15.56,-0.1399999999999988,4191179.0,68.42,-0.37999999999999545,742.0,194.0,102.0,74.0,372.0,64.62,-0.3499999999999943,41.4,-0.007194244604316649
2022-06-17,6125234.0,400829.0,7081.0,15.28,-0.28000000000000114,4137692.0,67.55,-0.8700000000000045,744.0,191.0,108.0,73.0,372.0,63.72,-0.9000000000000057,39.6,-0.04347826086956515
2022-06-24,6125234.0,404610.0,3781.0,15.14,-0.1399999999999988,4102169.0,66.97,-0.5799999999999983,741.0,189.0,110.0,69.0,373.0,63.19,-0.5300000000000011,39.5,-0.002525252525252561
2022-07-01,6125234.0,406297.0,1687.0,15.08,-0.0600000000000005,4089222.0,66.76,-0.20999999999999375,743.0,196.0,112.0,67.0,368.0,62.93,-0.259999999999998,40.35,0.021518987341772187
2022-07-08,6125234.0,405643.0,-654.0,15.1,0.019999999999999574,4091317.0,66.79,0.030000000000001137,744.0,196.0,114.0,65.0,369.0,62.97,0.03999999999999915,40.8,0.011152416356877217
2022-07-15,6125234.0,405669.0,26.0,15.1,0.0,4090556.0,66.78,-0.010000000000005116,753.0,204.0,112.0,67.0,370.0,62.88,-0.0899999999999963,40.5,-0.007352941176470519
2022-07-22,6125234.0,412681.0,7012.0,14.84,-0.2599999999999998,4043104.0,66.01,-0.769999999999996,754.0,204.0,112.0,71.0,367.0,62.06,-0.8200000000000003,37.7,-0.06913580246913573
2022-07-29,6125234.0,418637.0,5956.0,14.63,-0.20999999999999908,4031134.0,65.81,-0.20000000000000284,750.0,200.0,112.0,71.0,367.0,61.88,-0.17999999999999972,38.75,0.027851458885941566
2022-08-05,6125234.0,419536.0,899.0,14.6,-0.030000000000001137,4031634.0,65.82,0.009999999999990905,752.0,199.0,108.0,73.0,372.0,61.93,0.04999999999999716,38.85,0.0025806451612903594
2022-08-12,6125234.0,419822.0,286.0,14.59,-0.009999999999999787,4035801.0,65.89,0.07000000000000739,750.0,201.0,109.0,69.0,371.0,62.02,0.09000000000000341,39.3,0.011583011583011473
2022-08-19,6736851.0,420953.0,1131.0,16.0,1.4100000000000001,4639583.0,68.87,2.980000000000004,754.0,205.0,103.0,73.0,373.0,65.33,3.309999999999995,39.45,0.0038167938931299157
2022-08-26,6736851.0,429272.0,8319.0,15.69,-0.3100000000000005,4447739.0,66.02,-2.8500000000000085,808.0,218.0,113.0,69.0,408.0,62.35,-2.979999999999997,39.65,0.005069708491761615
2022-09-02,6736851.0,430431.0,1159.0,15.65,-0.03999999999999915,4464970.0,66.28,0.2600000000000051,803.0,220.0,108.0,68.0,407.0,62.66,0.30999999999999517,38.5,-0.029003783102143722
2022-09-08,6736851.0,430567.0,136.0,15.65,0.0,4481700.0,66.53,0.25,785.0,210.0,107.0,67.0,401.0,63.0,0.3400000000000034,39.85,0.035064935064935104
2022-09-16,6736182.0,431458.0,891.0,15.61,-0.040000000000000924,4483357.0,66.56,0.030000000000001137,781.0,208.0,103.0,66.0,404.0,63.11,0.10999999999999943,38.6,-0.031367628607277286
2022-09-23,6736182.0,438623.0,7165.0,15.36,-0.25,4438973.0,65.9,-0.6599999999999966,782.0,209.0,106.0,66.0,401.0,62.41,-0.7000000000000028,37.0,-0.041450777202072575
2022-09-30,6736182.0,446577.0,7954.0,15.08,-0.27999999999999936,4366327.0,64.82,-1.0800000000000125,778.0,210.0,104.0,67.0,397.0,61.33,-1.0799999999999983,33.8,-0.08648648648648656
2022-10-07,7156182.0,450168.0,3591.0,15.9,0.8200000000000003,4760844.0,66.53,1.710000000000008,786.0,210.0,105.0,70.0,401.0,63.19,1.8599999999999994,34.25,0.013313609467455707
2022-10-14,7156182.0,452797.0,2629.0,15.8,-0.09999999999999964,4726480.0,66.05,-0.480000000000004,797.0,213.0,107.0,73.0,404.0,62.64,-0.5499999999999972,32.4,-0.05401459854014603
2022-10-21,7156182.0,458187.0,5390.0,15.62,-0.1800000000000015,4672274.0,65.29,-0.7599999999999909,801.0,212.0,113.0,72.0,404.0,61.84,-0.7999999999999972,31.0,-0.04320987654320983
2022-10-28,7156182.0,461779.0,3592.0,15.5,-0.11999999999999922,4647791.0,64.95,-0.3400000000000034,795.0,211.0,111.0,73.0,400.0,61.51,-0.3300000000000054,30.5,-0.016129032258064516
2022-11-04,7156182.0,465493.0,3714.0,15.37,-0.13000000000000078,4623718.0,64.61,-0.3400000000000034,794.0,212.0,106.0,76.0,400.0,61.18,-0.3299999999999983,30.45,-0.0016393442622951052
2022-11-11,7156182.0,466397.0,904.0,15.34,-0.02999999999999936,4620167.0,64.56,-0.04999999999999716,793.0,211.0,105.0,78.0,399.0,61.12,-0.060000000000002274,32.15,0.05582922824302133
2022-11-18,7156182.0,471479.0,5082.0,15.18,-0.16000000000000014,4588339.0,64.12,-0.4399999999999977,811.0,220.0,106.0,80.0,405.0,60.58,-0.5399999999999991,33.3,0.03576982892690509
